address;categoryName;city;imageUrls/0;isAdvertisement;location/lat;location/lng;permanentlyClosed;phone;placeId;plusCode;postalCode;reviewsCount;temporarilyClosed;title;totalScore;url;website
"1 Rue de Libourne, 75012 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UgOAxCfxHrqjrDLbT1fwaA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=242.74059&pitch=0&thumbfov=100;FALSE;488.315.663;23.871.604;FALSE;+33 1 44 67 34 00;ChIJQWckoEBy5kcRVOisMOD3N1Y;"R9JP+JR Paris, France";75012;0;FALSE;Le Point Bar;;"https://www.google.com/maps/place/Le+Point+Bar/@48.8315204,2.384891,17z/data=!3m1!4b1!4m5!3m4!1s0x47e67240a0246741:0x5637f7e030ace854!8m2!3d48.8315663!4d2.3871604?hl=fr";
"155 Rue Montmartre, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPtSAC-uuKqJw-vym5T-3DeOLZtZRdP9iFFWv-Z=w1920-h1080-k-no;FALSE;488.706.653;2.342.633;FALSE;+33 1 42 21 09 61;ChIJkXdmMjxu5kcRz72y9UTz1r0;"V8CV+73 Paris, France";75002;326;FALSE;Café Oscar;4.2;"https://www.google.com/maps/place/Caf%C3%A9+Oscar/@48.870663,2.3404613,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e3c32667791:0xbdd6f344f5b2bdcf!8m2!3d48.8706653!4d2.342633?hl=fr";facebook.com
"97 Rue Réaumur, 75002 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DCaCzXali_MXOH1QsgUOBg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=198.2724&pitch=0&thumbfov=100;FALSE;488.676.297;2.345.695;FALSE;+33 1 42 33 82 41;ChIJcWzd3Rdu5kcRNQI3UZDiUj4;"V89W+37 Paris, France";75002;0;FALSE;Le Delta +;;"https://www.google.com/maps/place/Le+Delta+%2B/@48.8676341,2.3435086,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e17dddd6c71:0x3e52e29051370235!8m2!3d48.8676297!4d2.345695?hl=fr";
"15 Rue Notre Dame des Victoires, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNUn3evdTP6-Gkx3vYA0JFvFIM_pe0Pd4uadODd=w1920-h1080-k-no;FALSE;488.682.463;23.417.114;FALSE;+33 1 75 57 39 16;ChIJ9XNTM8pv5kcRq77-YRxBIHE;"V89R+7M Paris, France";75002;54;FALSE;Montezuma café;4.7;"https://www.google.com/maps/place/Montezuma+caf%C3%A9/@48.8682487,2.3395109,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fca335373f5:0x7120411c61febeab!8m2!3d48.8682463!4d2.3417114?hl=fr";montezumacafe.com
"46 Rue des Lombards, 75001 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipM4pQDfHSRr8KL0TomCS34frQqYRid18DKq3IDp=w1920-h1080-k-no;FALSE;488.597.992;23.484.259;FALSE;+33 6 76 84 00 48;ChIJiTxS6B5u5kcRZ8jvK0i5LNM;"V85X+W9 Paris, France";75001;81;FALSE;O' Chupito Shots Bar;3.3;"https://www.google.com/maps/place/O'+Chupito+Shots+Bar/@48.8597992,2.3462372,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1ee8523c89:0xd32cb9482befc867!8m2!3d48.8597992!4d2.3484259?hl=fr";o-chupito.fr
"17 Rue Guy Môquet, 75017 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p_F5kka-aW0brLKJz_5DYg&cb_client=search.gws-prod.gps&w=408&h=240&yaw=322.90817&pitch=0&thumbfov=100;FALSE;488.917.568;23.210.529;FALSE;+33 1 46 27 30 54;ChIJ4wbcdqxv5kcRR6wP8EmVxpE;"V8RC+PC Paris, France";75017;10;FALSE;Bar Aux Sports;2.5;"https://www.google.com/maps/place/Bar+Aux+Sports/@48.8918076,2.3189049,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fac76dc06e3:0x91c69549f00fac47!8m2!3d48.8917568!4d2.3210529?hl=fr";
"30-32 Rue du Sentier, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNARLLOeIY8aZnwOHflf_VJTknAF3hlZuoYIiQb=w1920-h1080-k-no;FALSE;488.699.562;23.479.639;FALSE;+33 1 85 65 75 75;ChIJxzhqFhZu5kcRJ4olVL4vLvQ;"V89X+X5 Paris, France";75002;31;FALSE;Jacques;4.7;"https://www.google.com/maps/place/Jacques/@48.8699561,2.3457759,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e16166a38c7:0xf42e2fbe54258a27!8m2!3d48.8699562!4d2.3479639?hl=fr";thehoxton.com
"1 Rue de Marivaux, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipOZ3HkqbPjUh44DsIZ8ixrvCO36u8HS0RJka9JI=w1920-h1080-k-no;FALSE;48.870.406;23.372.102;FALSE;+33 9 51 43 55 56;ChIJN5xDyztu5kcRogjYmVjkVvc;"V8CP+5V Paris, France";75002;150;FALSE;"Le Gorille Paris, Bar & Restaurant";4.2;"https://www.google.com/maps/place/Le+Gorille+Paris,+Bar+%26+Restaurant/@48.8704068,2.3350172,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e3bcb439c37:0xf756e45899d808a2!8m2!3d48.870406!4d2.3372102?hl=fr";facebook.com
"25 Rue des Grands Augustins, 75006 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNdSGwGCMBTRtvY0CBbdspNDZxdyCFkf5c7ZiaQ=w1920-h1080-k-no;FALSE;488.537.893;23.404.005;FALSE;+33 7 61 74 47 89;ChIJ2YU_4t5x5kcRJCpFdhTArJs;"V83R+G5 Paris, France";75006;319;FALSE;Les Caractères Bar Paris;4;"https://www.google.com/maps/place/Les+Caract%C3%A8res+Bar+Paris/@48.8537706,2.3382987,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671dee23f85d9:0x9bacc01476452a24!8m2!3d48.8537893!4d2.3404005?hl=fr";les-caracteres.com
"182 Rue Saint-Martin, 75003 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNa8BQxXzPh9cbm9C778j5zfGsH-05uHTTk-1XU=w1920-h1080-k-no;FALSE;488.626.498;23.522.827;FALSE;+33 6 15 04 61 00;ChIJHSO2vhtu5kcR0zIHsq7da74;"V972+3W Paris, France";75003;155;FALSE;Le Bar'Ouf;4.2;"https://www.google.com/maps/place/Le+Bar'Ouf/@48.8626498,2.350094,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1bbeb6231d:0xbe6bddaeb20732d3!8m2!3d48.8626498!4d2.3522827?hl=fr";lebaroufparis.com
"15 Rue de la Reynie, 75001 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNcM-ZJH-DvAcaev8doAZx2U2sIVjMBAjP6B3qi=w1920-h1080-k-no;FALSE;488.598.835;23.495.535;FALSE;+33 1 48 04 78 17;ChIJy-88vh5u5kcR3P9orXHLLMo;"V85X+XR Paris, France";75001;118;FALSE;Au Mange-Disque;4.5;"https://www.google.com/maps/place/Au+Mange-Disque/@48.8598835,2.3473648,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1ebe3cefcb:0xca2ccb71ad68ffdc!8m2!3d48.8598835!4d2.3495535?hl=fr";
"73 Rue d'Aboukir, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipOIW1xLJfuOfsk_voLFg5YP2gPGO5vzG3C3BaKk=w1920-h1080-k-no;FALSE;488.678.098;23.469.697;FALSE;+33 1 77 32 97 21;ChIJP1Pouxdu5kcRUW8DVIxOGMI;"V89W+4Q Paris, France";75002;481;FALSE;Lockwood;4.3;"https://www.google.com/maps/place/Lockwood/@48.8678098,2.344781,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e17bbe8533f:0xc2184e8c54036f51!8m2!3d48.8678098!4d2.3469697?hl=fr";lockwood-bar.eatbu.com
"10 Rue de Port-Mahon, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipNwxt07Vj5xO3fHOqS4mp3xBhADJg_b6Ry2SfDH=w1920-h1080-k-no;FALSE;488.696.143;23.341.336;FALSE;+33 9 73 59 95 23;ChIJdU7SnDBu5kcRRt-p9O65iQk;"V89M+RJ Paris, France";75002;226;FALSE;My Little Pub;4.7;"https://www.google.com/maps/place/My+Little+Pub/@48.8696111,2.3319113,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e309cd24e75:0x989b9eef4a9df46!8m2!3d48.8696143!4d2.3341336?hl=fr";
"17 Rue Tiquetonne, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMfx83kZBwYRpphaFaQb8hI0-NX9Oirr_orXBXO=w1920-h1080-k-no;FALSE;488.646.008;23.486.182;FALSE;+33 6 51 57 50 74;ChIJ88rPsBlu5kcREsV3u2lhALM;"V87X+RC Paris, France";75002;527;FALSE;Le Next (Bar de Nuit Paris);3.7;"https://www.google.com/maps/place/Le+Next+(Bar+de+Nuit+Paris)/@48.8645937,2.346424,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e19b0cfcaf3:0xb3006169bb77c512!8m2!3d48.8646008!4d2.3486182?hl=fr";lenext.com
"78 Rue de Cléry, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipP8RX2BQ1d4uAphdkDrg3PYLwPDiP1nUDbD_Gsc=w1920-h1080-k-no;FALSE;488.690.802;23.500.735;FALSE;+33 9 87 45 49 16;ChIJqYWN-fZv5kcRUu9okbz3W8M;"V992+J2 Paris, France";75002;256;FALSE;"The Good Game, bar à jeux et boutique de jeux";4.6;"https://www.google.com/maps/place/The+Good+Game,+bar+%C3%A0+jeux+et+boutique+de+jeux/@48.8690325,2.3479194,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66ff6f98d85a9:0xc35bf7bc9168ef52!8m2!3d48.8690802!4d2.3500735?hl=fr";goodgameparis.fr
"142 Rue Montmartre, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipORWj9RiR4bB91ltbX4BXBdhR_wIoTk-ED9t36G=w1920-h1080-k-no;FALSE;488.690.677;23.433.613;FALSE;+33 7 87 01 73 81;ChIJd26ppKZv5kcRpdNuYkrtMqQ;"V89V+J8 Paris, France";75002;229;FALSE;Sacré;4.1;"https://www.google.com/maps/place/Sacr%C3%A9/@48.8690667,2.3411765,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fa6a4a96e77:0xa432ed4a626ed3a5!8m2!3d48.8690677!4d2.3433613?hl=fr";sacre.paris
"20 Rue du Croissant, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipN_aJktVDM9C2jSH5ol8iyxkjOZ5-raszhwy1l5=w1920-h1080-k-no;FALSE;488.691.325;23.435.853;FALSE;+33 1 42 36 38 90;ChIJZeeNYbdv5kcR-abl9OZryS8;"V89V+JC Paris, France";75002;114;FALSE;La pince à cornichons;4.7;"https://www.google.com/maps/place/La+pince+%C3%A0+cornichons/@48.8691132,2.341386,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fb7618de765:0x2fc96be6f4e5a6f9!8m2!3d48.8691325!4d2.3435853?hl=fr";lapinceacornichons.fr
"21 Rue Saint-Sauveur, 75002 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1j945z8CS7eMVKH2ds-EDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=217.3409&pitch=0&thumbfov=100;FALSE;488.659.164;23.490.158;FALSE;;ChIJnRTxiu5v5kcRq0Qe5kTKQ2I;"V88X+9J Paris, France";75002;0;FALSE;Coca Cola bar;;"https://www.google.com/maps/place/Coca+Cola+bar/@48.8659425,2.3468386,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fee8af1149d:0x6243ca44e61e44ab!8m2!3d48.8659164!4d2.3490158?hl=fr";
"56 Rue d'Argout, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMHsXc6vmsq1HlSYUiTI3XavmudrGZu4VFQ-rhJ=w1920-h1080-k-no;FALSE;488.660.462;23.440.427;FALSE;+33 9 52 12 41 01;ChIJoZpDySJu5kcRdZQcAKkZwDo;"V88V+CJ Paris, France";75002;68;FALSE;LA JAJA;4.5;"https://www.google.com/maps/place/LA+JAJA/@48.8660586,2.3418416,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e22c9439aa1:0x3ac019a9001c9475!8m2!3d48.8660462!4d2.3440427?hl=fr";lajaja.fr
"2 Rue Scribe, 75009 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipOBskP5j5Vl1JGPD48Mbm2FJneT--qf8RV687yL=w1920-h1080-k-no;FALSE;488.707.748;23.302.875;FALSE;;ChIJ37RVODFu5kcRYiMGWm44kgE;"V8CJ+6C Paris, France";75009;83;FALSE;Le Bar du Grand Hôtel;4.5;"https://www.google.com/maps/place/Le+Bar+du+Grand+H%C3%B4tel/@48.8706228,2.3288531,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e313855b4df:0x192386e5a062362!8m2!3d48.8707748!4d2.3302875?hl=fr";ihg.com
"1 Rue Frochot, 75009 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMlKBA3XFNyyAvP2ZVK3im5p4QWxNtKzMM50SWF=w1920-h1080-k-no-pi-0-ya164.8549-ro0-fo100;FALSE;488.810.962;23.375.548;FALSE;+33 1 84 19 07 81;ChIJJVWoe0Zu5kcRcBVhbnPUkKw;"V8JQ+C2 Paris, France";75009;233;FALSE;Dr Lupin;4.4;"https://www.google.com/maps/place/Dr+Lupin/@48.8811061,2.3353136,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e467ba85525:0xac90d4736e611570!8m2!3d48.8810962!4d2.3375548?hl=fr";facebook.com
"6-8 Rue Duphot, 75001 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipN1ilsfhXyloeRgBAqjSZ7Ett2OOhmoQuzXczuo=w1920-h1080-k-no;FALSE;488.680.593;23.257.925;FALSE;+33 1 71 19 49 11;ChIJEZ17YDJu5kcRUWEfvcnNcLs;"V89G+68 Paris, France";75001;14;FALSE;Bar Le Charles;4.9;"https://www.google.com/maps/place/Bar+Le+Charles/@48.8680584,2.3235975,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e32607b9d11:0xbb70cdc9bd1f6151!8m2!3d48.8680593!4d2.3257925?hl=fr";lebaudelaire.com
"2 Gal de Nemours, 75001 Paris, France";Bar;Paris;https://maps.gstatic.com/tactile/pane/default_geocode-1x.png;FALSE;488.633.285;23.360.815;FALSE;+33 1 42 61 34 62;ChIJF1lqsyVu5kcRd1PhqPYABH8;"V87P+8C Paris, France";75001;3;FALSE;Padre;3;"https://www.google.com/maps/place/Padre/@48.8633285,2.3338928,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e25b36a5917:0x7f0400f6a8e15377!8m2!3d48.8633285!4d2.3360815?hl=fr";
"100 Rue Quincampoix, 75003 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPZW6YpGJDYryMCatf4mOL_de5qCe-DRUug0g5O=w1920-h1080-k-no;FALSE;488.630.031;23.516.072;FALSE;+33 9 67 14 93 97;ChIJP4V-zxtu5kcRh4DaTMqrIyM;"V972+5M Paris, France";75003;50;FALSE;L'ENIGME APERO BAR;4.8;"https://www.google.com/maps/place/L'ENIGME+APERO+BAR/@48.862978,2.3495063,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1bcf7e853f:0x2323abca4cda8087!8m2!3d48.8630031!4d2.3516072?hl=fr";
"60 Rue Quincampoix, 75004 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMaiRXwtCpWV8JIzqZetSggHH0luM7jNKSTnA_H=w1920-h1080-k-no;FALSE;488.614.625;23.507.665;FALSE;+33 7 66 39 63 66;ChIJC5wv_Btu5kcRAJq-TMasj_M;"V962+H8 Paris, France";75004;849;FALSE;Barberousse Paris;4.4;"https://www.google.com/maps/place/Barberousse+Paris/@48.8614628,2.3485763,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1bfc2f9c0b:0xf38facc64cbe9a00!8m2!3d48.8614625!4d2.3507665?hl=fr";barberousse.com
"15 Pl. Vendôme, 75001 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPKCl92aQ8fFR8sQwarBrDawaos98vRndrkLg11=w1920-h1080-k-no;FALSE;488.680.689;23.289.631;FALSE;+33 1 43 16 33 74;ChIJxa3ng8Jv5kcRnQhC5FDxJbk;"V89H+6H Paris, France";75001;1;FALSE;Ritz Bar;1;"https://www.google.com/maps/place/Ritz+Bar/@48.8680987,2.3267045,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fc283e7adc5:0xb925f150e442089d!8m2!3d48.8680689!4d2.3289631?hl=fr";
"1 Rue de Rivoli, 75004 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GuOCdXzXkK8eggL2Zfksmw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=272.58536&pitch=0&thumbfov=100;FALSE;488.554.787;23.594.893;FALSE;;ChIJW1G1jv1x5kcRf2jewMqhVxw;"V945+5P Paris, France";75004;3;FALSE;Bar : le rivoli cafe;1.7;"https://www.google.com/maps/place/Bar+:+le+rivoli+cafe/@48.8554988,2.3571521,17z/data=!3m1!4b1!4m5!3m4!1s0x47e671fd8eb5515b:0x1c57a1cac0de687f!8m2!3d48.8554787!4d2.3594893?hl=fr";
"19 Rue de Cléry, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipPZ4r5VlQIBSFUvi4CDQTLbIr_hO49FZ49kZHxN=w1920-h1080-k-no;FALSE;488.680.032;23.460.661;FALSE;+33 6 74 06 39 95;ChIJLxpQNNBv5kcRu5VHAe1DCbQ;"V89W+6C Paris, France";75002;33;FALSE;Les Grands Gamins - Bar à jeux de société et Boutique;5;"https://www.google.com/maps/place/Les+Grands+Gamins+-+Bar+%C3%A0+jeux+de+soci%C3%A9t%C3%A9+et+Boutique/@48.8680496,2.3438423,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fd034501a2f:0xb40943ed014795bb!8m2!3d48.8680032!4d2.3460661?hl=fr";lesgrandsgaminsparis.fr
"16 Rue Saint-Sauveur, 75002 Paris, France";Bar;Paris;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=1j945z8CS7eMVKH2ds-EDA&cb_client=search.gws-prod.gps&w=408&h=240&yaw=293.22733&pitch=0&thumbfov=100;FALSE;488.661.076;23.485.285;FALSE;+33 6 50 47 21 72;ChIJg1x8WKZv5kcRj4hTWZDDH1Q;"V88X+CC Paris, France";75002;4;FALSE;Housechill Bar;4;"https://www.google.com/maps/place/Housechill+Bar/@48.8661076,2.3463398,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66fa6587c5c83:0x541fc3905953888f!8m2!3d48.8661076!4d2.3485285?hl=fr";
"21 Rue Saint-Sauveur, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMD_ILCdryU_JfF_bxPP4qL1d1sn_GPRgotIK7y=w1920-h1080-k-no;FALSE;488.659.164;23.490.158;FALSE;;ChIJJzUM9W1v5kcR5z4H9UcX57E;"V88X+9J Paris, France";75002;5;FALSE;Le Signature;5;"https://www.google.com/maps/place/Le+Signature/@48.8659425,2.3468386,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66f6df50c3527:0xb1e71747f5073ee7!8m2!3d48.8659164!4d2.3490158?hl=fr";
"116 Rue Saint-Denis, 75002 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipMqOHf2Kp8IMGlCNcHFBiai2X7_70K1kDXU2F9r=w1920-h1080-k-no;FALSE;488.643.414;23.502.881;FALSE;+33 1 42 36 34 73;ChIJQ594hRlu5kcR2r8GtvqX840;"V972+P4 Paris, France";75002;1618;FALSE;The Frog & Rosbif;4;"https://www.google.com/maps/place/The+Frog+%26+Rosbif/@48.8643544,2.348101,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e1985789f43:0x8df397fab606bfda!8m2!3d48.8643414!4d2.3502881?hl=fr";frogpubs.com
"1 Square Vert Galant, 75001 Paris, France";Bar;Paris;https://lh5.googleusercontent.com/p/AF1QipP-z1vOVKXT16g0yzD4s07eryOaKlHYmVKja11F=w1920-h1080-k-no;FALSE;488.574.194;23.410.347;FALSE;+33 1 46 33 04 86;ChIJ-W8ejyBu5kcR29ygULvZpJc;"V84R+XC Paris, France";75001;23;FALSE;Captain's Bar;2.7;"https://www.google.com/maps/place/Captain's+Bar/@48.8574194,2.338846,17z/data=!3m1!4b1!4m5!3m4!1s0x47e66e208f1e6ff9:0x97a4d9bb50a0dcdb!8m2!3d48.8574194!4d2.3410347?hl=fr";
